Date,Time,BMS- Power,MPSA- Ouput P,Load MFM- Active Power,BMS- State of Charge,DG MFM- Active Power,Irradiation,Solar MFM- Active Power
10-11-2024,07:17:01,-19,-22.7,0,10,11.6,60.7,22.7
10-11-2024,07:17:31,-19,-22.7,0,10,11.6,60.7,22.7
10-11-2024,07:18:01,-20,-23.5,0,10,11.6,62,23.2
10-11-2024,07:18:31,-20,-23.5,0,10,11.6,62,23.2
10-11-2024,07:19:01,-21,-24.7,0,10,11.7,64.4,24.7
10-11-2024,07:19:31,-21,-24.7,0,10,11.7,64.4,24.7
10-11-2024,07:20:01,-22,-25.8,0,10,11.7,68.8,25.6
10-11-2024,07:20:31,-22,-25.8,0,10,11.6,68.8,25.6
10-11-2024,07:21:01,-23,-26.8,0,10,13.4,71.3,27
10-11-2024,07:21:31,-23,-26.8,0,10,13.4,71.3,27
10-11-2024,07:22:01,-24,-27.7,0,10,13.5,73.3,27.7
10-11-2024,07:22:31,-24,-27.7,0,10,13.5,73.3,27.7
10-11-2024,07:23:01,-25,-28.6,0,11,13.5,75.5,28.2
10-11-2024,07:23:31,-25,-28.6,0,11,13.5,75.5,28.2
10-11-2024,07:24:01,-26,-29.6,0,11,13.5,77.5,29.7
10-11-2024,07:24:31,-26,-29.6,0,11,13.5,77.5,29.7
10-11-2024,07:25:01,-27,-30.2,0,11,13.8,80.1,30.2
10-11-2024,07:25:31,-27,-30.2,0,11,13.8,80.1,30.2
10-11-2024,07:26:01,-27,-30.6,0,11,12,81.3,31
10-11-2024,07:26:31,-27,-30.6,0,11,12,81.3,31
10-11-2024,07:27:01,-27,-31.2,0,11,11.9,82.3,31.4
10-11-2024,07:27:31,-27,-31.2,0,11,11.9,82.3,31.4
10-11-2024,07:28:01,-28,-31.7,0,12,12,83.4,31.8
10-11-2024,07:28:31,-28,-31.7,0,12,12,83.4,31.8
10-11-2024,07:29:01,-28,-32.1,0,12,11.9,84.2,32.4
10-11-2024,07:29:31,-28,-32.1,0,12,12,84.2,32.4
10-11-2024,07:30:01,-29,-32.5,0,12,11.9,85,32.7
10-11-2024,07:30:31,-29,-32.5,0,12,11.9,85,32.7
10-11-2024,07:31:01,-30,-32.9,0,12,11.9,85.8,33.3
10-11-2024,07:31:31,-30,-32.9,0,12,11.9,85.8,33.3
10-11-2024,07:32:01,-29,-33.2,0,12,11.9,86.4,33.5
10-11-2024,07:32:31,-30,-33.2,0,12,11.9,86.4,33.5
10-11-2024,07:33:01,-29,-33.4,0,13,11.9,87,33.8
10-11-2024,07:33:31,-30,-33.5,0,13,11.9,87,33.8
10-11-2024,07:34:01,-30,-33.1,0,13,11.9,87.4,34
10-11-2024,07:34:31,-30,-33.1,0,13,11.9,87.4,34
10-11-2024,07:35:01,-30,-33.9,0,13,11.9,87.9,34
10-11-2024,07:35:31,-30,-33.9,0,13,11.9,87.9,34
10-11-2024,07:36:01,-31,-34.3,0,13,11.9,88.4,34.6
10-11-2024,07:36:31,-31,-34.3,0,13,11.9,88.4,34.6
10-11-2024,07:37:01,-30,-34.8,0,14,11.9,94.7,34.8
10-11-2024,07:37:31,-31,-34.8,0,14,11.9,94.7,34.8
10-11-2024,07:38:01,-32,-35.7,0,14,11.8,96.5,36
10-11-2024,07:38:31,-32,-35.7,0,14,11.8,96.5,36
10-11-2024,07:39:01,-33,-36.6,0,14,11.8,98.5,36.7
10-11-2024,07:39:31,-33,-36.6,0,14,11.8,98.5,36.7
10-11-2024,07:40:01,-34,-37.9,0,14,11.8,100.9,37.4
10-11-2024,07:40:31,-34,-37.9,0,14,11.8,100.9,37.4
10-11-2024,07:41:01,-35,-39.1,0,15,13.7,103.7,39.3
10-11-2024,07:41:31,-35,-39.1,0,15,13.7,103.7,39.3
10-11-2024,07:42:01,-38,-42,0,15,13.7,109.5,40.3
10-11-2024,07:42:31,-38,-42,0,15,13.7,109.5,40.3
10-11-2024,07:43:01,-39,-44.4,0,15,13.6,113.3,44.5
10-11-2024,07:43:31,-39,-43.1,0,15,13.6,110.8,44.5
10-11-2024,07:44:01,-38,-41.9,0,16,13.7,112,42.3
10-11-2024,07:44:31,-38,-42.8,0,16,13.7,112,42.3
